seq_name,nu,UniProt_ID,N,Features,N_Domain,Descriptions,Other_Descriptions,fdomain,Short_Descriptions,Other_Short_Descriptions,All_Short
A0A024RBG1_145_181,0.558,A0A024RBG1,37,,0.0,,,0.0,,,
A0A075B6T7_1_32,0.525,A0A075B6T7,32,,0.0,,,0.0,,,
A0A087WTH1_1_67,0.532,A0A087WTH1,67,,0.0,,,0.0,,,
A0A087WTH5_1_132,0.496,A0A087WTH5,132,,0.0,,,0.0,,,
A0A087WUL8_163_623,0.454,A0A087WUL8,461,,0.0,,,0.0,,,
A0A087WUL8_624_1083,0.423,A0A087WUL8,460,,0.0,,,0.0,,,
A0A087WUL8_1544_2003,0.498,A0A087WUL8,460,,0.0,,,0.0,,,
A0A087WUL8_2004_2463,0.43,A0A087WUL8,460,,0.0,,,0.0,,,
A0A087WUL8_2464_2923,0.442,A0A087WUL8,460,,0.0,,,0.0,,,
A0A087WUL8_2924_3383,0.455,A0A087WUL8,460,,0.0,,,0.0,,,
A0A087WUL8_3384_3843,0.46,A0A087WUL8,460,,0.0,,,0.0,,,
A0A087WUL8_1084_1543,0.507,A0A087WUL8,460,,0.0,,,0.0,,,
A0A087WV53_1_46,0.567,A0A087WV53,46,,0.0,,,0.0,,,
A0A087WVF3_1_53,0.545,A0A087WVF3,53,,0.0,,,0.0,,,
A0A087WVF3_214_549,0.48,A0A087WVF3,336,,0.0,,,0.0,,,
A0A087WWA1_1_95,0.52,A0A087WWA1,95,,0.0,,,0.0,,,
A0A087WX78_1_165,0.525,A0A087WX78,165,,0.0,,,0.0,,,
A0A087WX78_291_387,0.535,A0A087WX78,97,,0.0,,,0.0,,,
A0A087WXM9_1_373,0.501,A0A087WXM9,373,,0.0,,,0.0,,,
A0A087WXS9_214_549,0.497,A0A087WXS9,336,,0.0,,,0.0,,,
A0A087WXS9_1_50,0.542,A0A087WXS9,50,,0.0,,,0.0,,,
A0A087X179_214_549,0.477,A0A087X179,336,,0.0,,,0.0,,,
A0A087X179_1_50,0.553,A0A087X179,50,,0.0,,,0.0,,,
A0A087X1G2_214_549,0.482,A0A087X1G2,336,,0.0,,,0.0,,,
A0A087X1G2_1_53,0.543,A0A087X1G2,53,,0.0,,,0.0,,,
A0A096LNP1_1_70,0.51,A0A096LNP1,70,,0.0,,,0.0,,,
A0A096LP01_37_95,0.553,A0A096LP01,59,,0.0,,,0.0,,,
A0A096LP49_1_317,0.532,A0A096LP49,317,,0.0,,,0.0,,,
A0A096LP49_318_634,0.514,A0A096LP49,317,,0.0,,,0.0,,,
A0A096LP49_681_1063,0.508,A0A096LP49,383,,0.0,,,0.0,,,
A0A096LPI5_1_108,0.514,A0A096LPI5,108,,0.0,,,0.0,,,
A0A0A0MT76_1_42,0.534,A0A0A0MT76,42,,0.0,,,0.0,,,
A0A0A6YYL3_331_461,0.567,A0A0A6YYL3,131,,0.0,,,0.0,,,
A0A0A6YYL3_1_93,0.501,A0A0A6YYL3,93,,0.0,,,0.0,,,
A0A0B4J2D5_1_36,0.585,A0A0B4J2D5,36,,0.0,,,0.0,,,
A0A0B4J2F2_350_783,0.493,A0A0B4J2F2,434,,0.0,,,0.0,,,
A0A0B4J2F2_278_307,0.57,A0A0B4J2F2,30,,0.0,,,0.0,,,
A0A0D9SF12_1_145,0.499,A0A0D9SF12,145,,0.0,,,0.0,,,
A0A0G2JMD5_106_149,0.561,A0A0G2JMD5,44,,0.0,,,0.0,,,
A0A0G2JMD5_225_283,0.521,A0A0G2JMD5,59,,0.0,,,0.0,,,
A0A0J9YWL9_573_993,0.529,A0A0J9YWL9,421,Zinc finger,29.0,"RanBP2-type, Zinc finger",,0.0688836104513064,Zinc finger,,Zinc finger
A0A0J9YWL9_151_572,0.527,A0A0J9YWL9,422,,0.0,,,0.0,,,
A0A0J9YX94_426_578,0.577,A0A0J9YX94,153,,0.0,,,0.0,,,
A0A0J9YX94_76_274,0.515,A0A0J9YX94,199,,0.0,,,0.0,,,
A0A0J9YXQ4_487_647,0.551,A0A0J9YXQ4,161,,0.0,,,0.0,,,
A0A0J9YXQ4_85_350,0.545,A0A0J9YXQ4,266,,0.0,,,0.0,,,
A0A0J9YY54_1_62,0.528,A0A0J9YY54,62,,0.0,,,0.0,,,
A0A0J9YY54_151_432,0.506,A0A0J9YY54,282,,0.0,,,0.0,,,
A0A0J9YY54_433_714,0.51,A0A0J9YY54,282,Zinc finger,29.0,"RanBP2-type, Zinc finger",,0.1028368794326241,Zinc finger,,Zinc finger
A0A0K2S4Q6_130_201,0.521,A0A0K2S4Q6,72,,0.0,,,0.0,,,
A0A0U1RQF7_1_123,0.504,A0A0U1RQF7,123,,0.0,,,0.0,,,
A0A0U1RQI7_485_968,0.499,A0A0U1RQI7,484,,0.0,,,0.0,,,
A0A0U1RQI7_1_484,0.531,A0A0U1RQI7,484,,0.0,,,0.0,,,
A0A0U1RQS6_1_177,0.53,A0A0U1RQS6,177,,0.0,,,0.0,,,
A0A0U1RR11_1_90,0.576,A0A0U1RR11,90,,0.0,,,0.0,,,
A0A0U1RR11_239_272,0.591,A0A0U1RR11,34,,0.0,,,0.0,,,
A0A0U1RR37_1_186,0.532,A0A0U1RR37,186,,0.0,,,0.0,,,
A0A0U1RRE5_1_68,0.544,A0A0U1RRE5,68,,0.0,,,0.0,,,
A0A0U1RRI6_254_287,0.597,A0A0U1RRI6,34,,0.0,,,0.0,,,
A0A0U1RRI6_1_100,0.567,A0A0U1RRI6,100,,0.0,,,0.0,,,
A0A0U1RRK4_1_108,0.549,A0A0U1RRK4,108,,0.0,,,0.0,,,
A0A0U1RRL7_1_34,0.569,A0A0U1RRL7,34,,0.0,,,0.0,,,
A0A0U1RRN3_1_59,0.511,A0A0U1RRN3,59,,0.0,,,0.0,,,
A0A183_1_80,0.512,A0A183,80,,0.0,,,0.0,,,
A0A1B0GTC6_1_90,0.5,A0A1B0GTC6,90,,0.0,,,0.0,,,
A0A1B0GTD5_1_43,0.56,A0A1B0GTD5,43,,0.0,,,0.0,,,
A0A1B0GTH6_516_734,0.484,A0A1B0GTH6,219,,0.0,,,0.0,,,
A0A1B0GTH6_1_429,0.519,A0A1B0GTH6,429,,0.0,,,0.0,,,
A0A1B0GTI1_1_127,0.523,A0A1B0GTI1,127,,0.0,,,0.0,,,
A0A1B0GTK4_1_36,0.543,A0A1B0GTK4,36,,0.0,,,0.0,,,
A0A1B0GTK4_108_181,0.541,A0A1B0GTK4,74,,0.0,,,0.0,,,
A0A1B0GTK5_1_79,0.51,A0A1B0GTK5,79,,0.0,,,0.0,,,
A0A1B0GTL2_1_96,0.549,A0A1B0GTL2,96,,0.0,,,0.0,,,
A0A1B0GTQ4_1_84,0.511,A0A1B0GTQ4,84,,0.0,,,0.0,,,
A0A1B0GTR0_1_161,0.462,A0A1B0GTR0,161,,0.0,,,0.0,,,
A0A1B0GTR3_1_108,0.523,A0A1B0GTR3,108,,0.0,,,0.0,,,
A0A1B0GTR4_1_108,0.55,A0A1B0GTR4,108,,0.0,,,0.0,,,
A0A1B0GTS1_188_333,0.378,A0A1B0GTS1,146,,0.0,,,0.0,,,
A0A1B0GTS1_1_75,0.585,A0A1B0GTS1,75,,0.0,,,0.0,,,
A0A1B0GTU1_94_449,0.528,A0A1B0GTU1,356,,0.0,,,0.0,,,
A0A1B0GTU1_450_805,0.525,A0A1B0GTU1,356,,0.0,,,0.0,,,
A0A1B0GTW7_593_788,0.501,A0A1B0GTW7,196,,0.0,,,0.0,,,
A0A1B0GTW7_193_265,0.528,A0A1B0GTW7,73,,0.0,,,0.0,,,
A0A1B0GTW7_1_97,0.515,A0A1B0GTW7,97,,0.0,,,0.0,,,
A0A1B0GTY4_146_177,0.581,A0A1B0GTY4,32,,0.0,,,0.0,,,
A0A1B0GTY4_1_71,0.512,A0A1B0GTY4,71,,0.0,,,0.0,,,
A0A1B0GTZ2_118_161,0.561,A0A1B0GTZ2,44,,0.0,,,0.0,,,
A0A1B0GTZ2_222_297,0.529,A0A1B0GTZ2,76,,0.0,,,0.0,,,
A0A1B0GU29_82_152,0.569,A0A1B0GU29,71,,0.0,,,0.0,,,
A0A1B0GU29_1_46,0.521,A0A1B0GU29,46,,0.0,,,0.0,,,
A0A1B0GU33_1_70,0.551,A0A1B0GU33,70,,0.0,,,0.0,,,
A0A1B0GUA5_1_103,0.514,A0A1B0GUA5,103,,0.0,,,0.0,,,
A0A1B0GUA6_38_201,0.527,A0A1B0GUA6,164,,0.0,,,0.0,,,
A0A1B0GUA7_110_166,0.54,A0A1B0GUA7,57,,0.0,,,0.0,,,
A0A1B0GUA7_1_47,0.536,A0A1B0GUA7,47,,0.0,,,0.0,,,
A0A1B0GUA9_1_212,0.514,A0A1B0GUA9,212,,0.0,,,0.0,,,
A0A1B0GUC4_1_108,0.532,A0A1B0GUC4,108,,0.0,,,0.0,,,
A0A1B0GUI7_1_84,0.516,A0A1B0GUI7,84,,0.0,,,0.0,,,
A0A1B0GUJ8_135_204,0.534,A0A1B0GUJ8,70,,0.0,,,0.0,,,
A0A1B0GUQ0_1_79,0.473,A0A1B0GUQ0,79,,0.0,,,0.0,,,
A0A1B0GUS0_88_222,0.532,A0A1B0GUS0,135,,0.0,,,0.0,,,
A0A1B0GUT2_1_108,0.531,A0A1B0GUT2,108,,0.0,,,0.0,,,
A0A1B0GUU1_83_130,0.567,A0A1B0GUU1,48,,0.0,,,0.0,,,
A0A1B0GUV1_1_79,0.517,A0A1B0GUV1,79,,0.0,,,0.0,,,
A0A1B0GUV7_1_120,0.524,A0A1B0GUV7,120,,0.0,,,0.0,,,
A0A1B0GUW6_820_1196,0.521,A0A1B0GUW6,377,,0.0,,,0.0,,,
A0A1B0GUW6_443_819,0.524,A0A1B0GUW6,377,,0.0,,,0.0,,,
A0A1B0GUW6_66_442,0.529,A0A1B0GUW6,377,,0.0,,,0.0,,,
A0A1B0GUY1_1_285,0.529,A0A1B0GUY1,285,,0.0,,,0.0,,,
A0A1B0GV03_209_249,0.571,A0A1B0GV03,41,,0.0,,,0.0,,,
A0A1B0GV03_458_622,0.517,A0A1B0GV03,165,,0.0,,,0.0,,,
A0A1B0GV03_1_64,0.551,A0A1B0GV03,64,,0.0,,,0.0,,,
A0A1B0GV22_1_79,0.491,A0A1B0GV22,79,,0.0,,,0.0,,,
A0A1B0GV85_167_526,0.526,A0A1B0GV85,360,,0.0,,,0.0,,,
A0A1B0GVD1_110_139,0.55,A0A1B0GVD1,30,,0.0,,,0.0,,,
A0A1B0GVG4_195_234,0.621,A0A1B0GVG4,40,,0.0,,,0.0,,,
A0A1B0GVG4_1_61,0.544,A0A1B0GVG4,61,,0.0,,,0.0,,,
A0A1B0GVG6_1_124,0.468,A0A1B0GVG6,124,,0.0,,,0.0,,,
A0A1B0GVH4_1_220,0.472,A0A1B0GVH4,220,,0.0,,,0.0,,,
A0A1B0GVH6_1_325,0.463,A0A1B0GVH6,325,,0.0,,,0.0,,,
A0A1B0GVH7_1_285,0.516,A0A1B0GVH7,285,,0.0,,,0.0,,,
A0A1B0GVM5_1_59,0.546,A0A1B0GVM5,59,,0.0,,,0.0,,,
A0A1B0GVM6_1_126,0.536,A0A1B0GVM6,126,,0.0,,,0.0,,,
A0A1B0GVN3_1_265,0.494,A0A1B0GVN3,265,,0.0,,,0.0,,,
A0A1B0GVQ0_47_90,0.545,A0A1B0GVQ0,44,,0.0,,,0.0,,,
A0A1B0GVQ3_47_168,0.542,A0A1B0GVQ3,122,,0.0,,,0.0,,,
A0A1B0GVS7_1_189,0.533,A0A1B0GVS7,189,,0.0,,,0.0,,,
A0A1B0GVT2_38_93,0.565,A0A1B0GVT2,56,,0.0,,,0.0,,,
A0A1B0GVV1_39_85,0.529,A0A1B0GVV1,47,,0.0,,,0.0,,,
A0A1B0GVX0_1_72,0.509,A0A1B0GVX0,72,,0.0,,,0.0,,,
A0A1B0GVY4_31_71,0.487,A0A1B0GVY4,41,,0.0,,,0.0,,,
A0A1B0GVZ6_1_165,0.51,A0A1B0GVZ6,165,,0.0,,,0.0,,,
A0A1B0GW64_1_132,0.518,A0A1B0GW64,132,,0.0,,,0.0,,,
A0A1B0GWB2_1_263,0.513,A0A1B0GWB2,263,,0.0,,,0.0,,,
A0A1B0GWH4_1_75,0.576,A0A1B0GWH4,75,,0.0,,,0.0,,,
A0A1B0GWH4_188_333,0.4,A0A1B0GWH4,146,,0.0,,,0.0,,,
A0A1W2PP97_1_45,0.52,A0A1W2PP97,45,,0.0,,,0.0,,,
A0A1W2PPF3_156_345,0.518,A0A1W2PPF3,190,,0.0,,,0.0,,,
A0A1W2PPF3_72_112,0.564,A0A1W2PPF3,41,,0.0,,,0.0,,,
A0A1W2PPM1_96_405,0.506,A0A1W2PPM1,310,,0.0,,,0.0,,,
A0A1W2PQ73_1_41,0.54,A0A1W2PQ73,41,,0.0,,,0.0,,,
A0A1W2PQ73_124_354,0.515,A0A1W2PQ73,231,,0.0,,,0.0,,,
A0A1W2PR48_1_146,0.524,A0A1W2PR48,146,,0.0,,,0.0,,,
A0A1W2PR82_234_267,0.583,A0A1W2PR82,34,,0.0,,,0.0,,,
A0A1W2PR82_131_181,0.548,A0A1W2PR82,51,,0.0,,,0.0,,,
A0A1W2PR82_1_81,0.547,A0A1W2PR82,81,,0.0,,,0.0,,,
A0A1W2PRP0_116_233,0.486,A0A1W2PRP0,118,,0.0,,,0.0,,,
A0A1W2PS18_1_115,0.522,A0A1W2PS18,115,,0.0,,,0.0,,,
A0A286YEV6_1_105,0.536,A0A286YEV6,105,,0.0,,,0.0,,,
A0A286YEX9_1_47,0.531,A0A286YEX9,47,,0.0,,,0.0,,,
A0A286YEY9_1_88,0.535,A0A286YEY9,88,,0.0,,,0.0,,,
A0A286YF01_1_96,0.518,A0A286YF01,96,,0.0,,,0.0,,,
A0A286YF46_1_85,0.533,A0A286YF46,85,,0.0,,,0.0,,,
A0A286YF58_259_385,0.437,A0A286YF58,127,,0.0,,,0.0,,,
A0A286YF58_1_205,0.514,A0A286YF58,205,,0.0,,,0.0,,,
A0A286YF60_1_100,0.534,A0A286YF60,100,,0.0,,,0.0,,,
A0A286YF77_1_105,0.535,A0A286YF77,105,,0.0,,,0.0,,,
A0A286YFB4_1_120,0.536,A0A286YFB4,120,,0.0,,,0.0,,,
A0A286YFG1_1_108,0.529,A0A286YFG1,108,,0.0,,,0.0,,,
A0A2R8Y4Y8_103_160,0.545,A0A2R8Y4Y8,58,,0.0,,,0.0,,,
A0A2R8YFL7_120_184,0.522,A0A2R8YFL7,65,,0.0,,,0.0,,,
A0A2R8YFM6_113_193,0.541,A0A2R8YFM6,81,,0.0,,,0.0,,,
A0A2Z4LIS9_1_238,0.514,A0A2Z4LIS9,238,,0.0,,,0.0,,,
A0A3B3IT52_123_213,0.525,A0A3B3IT52,91,,0.0,,,0.0,,,
A0A3B3IT52_1_34,0.577,A0A3B3IT52,34,,0.0,,,0.0,,,
A0A494C086_1_189,0.486,A0A494C086,189,,0.0,,,0.0,,,
A0A494C086_275_341,0.634,A0A494C086,67,,0.0,,,0.0,,,
A0A494C0N9_1_108,0.549,A0A494C0N9,108,,0.0,,,0.0,,,
A0A494C0N9_159_232,0.534,A0A494C0N9,74,,0.0,,,0.0,,,
A0A494C0Y3_1_106,0.543,A0A494C0Y3,106,,0.0,,,0.0,,,
A0A494C0Y3_161_232,0.55,A0A494C0Y3,72,,0.0,,,0.0,,,
A0A494C0Z2_1_102,0.467,A0A494C0Z2,102,,0.0,,,0.0,,,
A0A494C191_1_102,0.475,A0A494C191,102,,0.0,,,0.0,,,
A0A5F9ZHS7_101_289,0.501,A0A5F9ZHS7,189,,0.0,,,0.0,,,
A0AUZ9_701_987,0.507,A0AUZ9,287,,0.0,,,0.0,,,
A0AUZ9_260_367,0.545,A0AUZ9,108,,0.0,,,0.0,,,
A0AUZ9_413_700,0.479,A0AUZ9,288,,0.0,,,0.0,,,
A0AUZ9_1_217,0.53,A0AUZ9,217,,0.0,,,0.0,,,
