,nu_two_sided,nu_pvalue_g,nu_pvalue_l,nu_one_sided,nu_one_sided_table,SPR_two_sided,SPR_pvalue_g,SPR_pvalue_l,SPR_one_sided,SPR_one_sided_table,n
sequence-specific DNA binding,0.0,1.0,0.0,0.0,	extcolor{orange}{$<$1e-10},0.0,1.0,0.0,0.0,	extcolor{orange}{$<$1e-10},2179.0
DNA binding,0.0,1.0,0.0,0.0,	extcolor{orange}{$<$1e-10},0.0,1.0,0.0,0.0,	extcolor{orange}{$<$1e-10},3348.0
sequence-specific double-stranded DNA binding,1.7763568394002505e-15,0.9999999999999991,8.881784197001252e-16,8.881784197001252e-16,	extcolor{orange}{$<$1e-10},0.0,1.0,0.0,0.0,	extcolor{orange}{$<$1e-10},1999.0
transcription cis-regulatory region binding,2.220446049250313e-15,0.9999999999999989,1.1102230246251565e-15,1.1102230246251565e-15,	extcolor{orange}{$<$1e-10},0.0,1.0,0.0,0.0,	extcolor{orange}{$<$1e-10},1908.0
RNA polymerase II transcription regulatory region sequence-specific DNA binding,2.4424906541753444e-15,0.9999999999999988,1.2212453270876722e-15,1.2212453270876722e-15,	extcolor{orange}{$<$1e-10},0.0,1.0,0.0,0.0,	extcolor{orange}{$<$1e-10},1738.0
"DNA-binding transcription factor activity, RNA polymerase II-specific",5.551115123125783e-15,0.9999999999999972,2.7755575615628914e-15,2.7755575615628914e-15,	extcolor{orange}{$<$1e-10},0.0,1.0,0.0,0.0,	extcolor{orange}{$<$1e-10},1699.0
DNA-binding transcription factor activity,9.547918011776346e-15,0.9999999999999952,4.773959005888173e-15,4.773959005888173e-15,	extcolor{orange}{$<$1e-10},0.0,1.0,0.0,0.0,	extcolor{orange}{$<$1e-10},1753.0
RNA polymerase II cis-regulatory region sequence-specific DNA binding,1.4845902285287593e-12,0.9999999999992577,7.422951142643797e-13,7.422951142643797e-13,	extcolor{orange}{$<$1e-10},0.0,1.0,0.0,0.0,	extcolor{orange}{$<$1e-10},1502.0
chromatin binding,2.7824254011932226e-10,0.9999999998608787,1.3912127005966113e-10,1.3912127005966113e-10,	extcolor{orange}{1e-10},1.9706951626119462e-09,0.9999999990146524,9.853475813059731e-10,9.853475813059731e-10,	extcolor{orange}{1e-09},973.0
"DNA-binding transcription repressor activity, RNA polymerase II-specific",2.414404276507298e-08,0.9999999879279786,1.207202138253649e-08,1.207202138253649e-08,	extcolor{orange}{1e-08},6.661338147750939e-16,0.9999999999999997,3.3306690738754696e-16,3.3306690738754696e-16,	extcolor{orange}{$<$1e-10},399.0
"DNA-binding transcription activator activity, RNA polymerase II-specific",2.5307689943687706e-08,0.999999987346155,1.2653844971843853e-08,1.2653844971843853e-08,	extcolor{orange}{1e-08},0.0,1.0,0.0,0.0,	extcolor{orange}{$<$1e-10},658.0
signaling receptor activity,1.2465847105624164e-06,6.232923552812082e-07,0.9999993767076447,6.232923552812082e-07,	extcolor{green}{6e-07},1.6519219587894835e-14,8.259609793947418e-15,0.9999999999999918,8.259609793947418e-15,	extcolor{green}{$<$1e-10},1370.0
transcription coactivator activity,3.286758162923675e-05,0.9999835662091854,1.6433790814618376e-05,1.6433790814618376e-05,	extcolor{orange}{2e-05},6.038334646518706e-06,0.9999969808326767,3.019167323259353e-06,3.019167323259353e-06,	extcolor{orange}{3e-06},404.0
G protein-coupled receptor activity,7.16219563079668e-05,3.58109781539834e-05,0.999964189021846,3.58109781539834e-05,	extcolor{green}{4e-05},3.2262399555134165e-15,1.6131199777567082e-15,0.9999999999999983,1.6131199777567082e-15,	extcolor{green}{$<$1e-10},619.0
GTP binding,0.00015363713679057087,7.681856839528544e-05,0.9999231814316047,7.681856839528544e-05,	extcolor{green}{8e-05},1.1793308112263842e-07,5.896654056131921e-08,0.9999999410334595,5.896654056131921e-08,	extcolor{green}{6e-08},259.0
mRNA binding,0.0003427287493424913,0.9998286356253288,0.00017136437467124566,0.00017136437467124566,	extcolor{orange}{0.0002},1.2159162565694714e-12,0.999999999999392,6.079581282847357e-13,6.079581282847357e-13,	extcolor{orange}{$<$1e-10},437.0
integrin binding,0.000978534381654789,0.0004892671908273945,0.9995107328091726,0.0004892671908273945,	extcolor{green}{0.0005},3.786993827621513e-09,1.8934969138107564e-09,0.9999999981065031,1.8934969138107564e-09,	extcolor{green}{2e-09},204.0
RNA polymerase II-specific DNA-binding transcription factor binding,0.022593289922172355,0.9887033550389138,0.011296644961086177,0.011296644961086177,	extcolor{orange}{0.01},2.585153644485416e-07,0.9999998707423178,1.292576822242708e-07,1.292576822242708e-07,	extcolor{orange}{1e-07},545.0
DNA-binding transcription factor binding,0.05170824958259068,0.9741458752087047,0.02585412479129534,0.02585412479129534,	extcolor{orange}{0.03},2.493361073163669e-10,0.999999999875332,1.2466805365818345e-10,1.2466805365818345e-10,	extcolor{orange}{1e-10},709.0
ATP binding,0.5451075036370239,0.27255375181851194,0.7274462481814881,0.27255375181851194,	extcolor{green}{0.3},1.8066291319023666e-05,9.033145659511833e-06,0.9999909668543405,9.033145659511833e-06,	extcolor{green}{9e-06},2096.0
