,OR,p_value,OR_errlow,OR_errhigh,asymmetric_err,BenjaminiHochberg,correctedP
focal adhesion,0.40916285476676184,0.0019676488355609327,0.19462614750024296,0.760742765412801,"[0.21453670726651888, 0.3515799106460391]",True,0.007249232552066595
extracellular matrix,0.4472759118998713,8.817855759809305e-05,0.27091001781670865,0.6980386430718126,"[0.17636589408316267, 0.2507627311719413]",True,0.0004114999354577676
cytoplasmic vesicle,0.49409960177022155,5.448739147324274e-10,0.38216482054421375,0.630332568737949,"[0.1119347812260078, 0.1362329669677274]",True,1.2497702836674894e-08
apical plasma membrane,0.5090630933144925,0.012374682791614904,0.26862743017823254,0.8807676291915337,"[0.24043566313625997, 0.3717045358770412]",True,0.03208251094122382
lysosomal membrane,0.5174618939676394,0.03032567839957592,0.25594340141274347,0.9373271930463749,"[0.26151849255489595, 0.4198652990787355]",False,0.057372905080278765
endosome,0.5222537210551711,0.0001565047451951387,0.3515219362807509,0.7496232826450311,"[0.1707317847744202, 0.22736956158986]",True,0.0006444313037446887
Golgi membrane,0.5686310758357631,0.013599128637659642,0.33914796641033557,0.8984396177464984,"[0.22948310942542754, 0.3298085419107353]",True,0.0339978215941491
glutamatergic synapse,0.5991541494412301,0.06529486914937298,0.32436357621820955,1.0180846513246717,"[0.2747905732230206, 0.4189305018834416]",False,0.11719591898605405
endoplasmic reticulum membrane,0.6121145842082383,0.0050538604243845365,0.41451572475143256,0.8744187553014332,"[0.19759885945680572, 0.2623041710931949]",True,0.015381314335083373
extracellular region,0.6131182669228554,5.918068779527714e-08,0.5052235924270402,0.7392495108020585,"[0.10789467449581525, 0.12613124387920305]",True,4.602942384077111e-07
cell surface,0.6138003243834889,0.0045278673599058634,0.41828358537851285,0.872296974173638,"[0.19551673900497601, 0.2584966497901492]",True,0.014406850690609567
endoplasmic reticulum lumen,0.6193222524964532,0.12283644176437053,0.3167670353593536,1.0964432656516465,"[0.30255521713709965, 0.4771210131551933]",False,0.19996630054664968
cell-cell junction,0.6202458489891853,0.02170847648807893,0.39351116556922716,0.933972918928741,"[0.22673468341995817, 0.3137270699395557]",True,0.0454204361448108
extracellular exosome,0.6279492285334108,0.0002557263691305156,0.47592979508359873,0.8155408205297702,"[0.1520194334498121, 0.18759159199635933]",True,0.0009944914355075607
microtubule,0.6292474678558208,0.029104597170365405,0.39496147896180567,0.9556417489885543,"[0.23428598889401508, 0.3263942811327335]",False,0.056592272275710516
extracellular space,0.6319548067437812,6.877192809480397e-06,0.5077707540779585,0.7794830729099143,"[0.12418405266582278, 0.14752826616613302]",True,3.7031038204894447e-05
early endosome,0.6323518505765089,0.07686139555153573,0.35784287287802374,1.0400262695556564,"[0.27450897769848515, 0.40767441897914747]",False,0.13450744221518754
