,nu_p,nu_p_excel,nu_cd,nu_cd_se,nu_p_b,nu_cd_excel,nu_p_b_excel,nu_cd_sub,nu_cd_se_sub,nu_p_b_sub,nu_cd_excel_sub,nu_p_b_excel_sub,SPR_p,SPR_p_excel,SPR_cd,SPR_cd_se,SPR_p_b,SPR_cd_excel,SPR_p_b_excel,SPR_cd_sub,SPR_cd_se_sub,SPR_p_b_sub,SPR_cd_excel_sub,SPR_p_b_excel_sub
transcription cis-regulatory region binding,0.0,<1e-05,-0.2224100633487474,0.018858723471530666,0.0,-0.22±0.02,<1e-05,-0.2224100633487474,0.028395602237004543,0.0,-0.22±0.03,<1e-05,0.0,<1e-05,-0.4301086048774051,0.021287870419319094,0.0,-0.43±0.02,<1e-05,-0.4301086048774051,0.027910200091144186,0.0,-0.43±0.03,<1e-05
sequence-specific DNA binding,0.0,<1e-05,-0.211030706624582,0.01815441188957581,0.0,-0.21±0.02,<1e-05,-0.211030706624582,0.026493197001772537,0.0,-0.21±0.03,<1e-05,0.0,<1e-05,-0.39389397891137057,0.020345343160866256,0.0,-0.39±0.02,<1e-05,-0.39389397891137057,0.026353998029366756,0.0,-0.39±0.03,<1e-05
DNA-binding transcription factor activity,0.0,<1e-05,-0.22100943142277557,0.01925537264678834,0.0,-0.22±0.02,<1e-05,-0.22100943142277557,0.03002081749493419,0.0,-0.22±0.03,<1e-05,0.0,<1e-05,-0.4586669033725117,0.022021172346619978,0.0,-0.46±0.02,<1e-05,-0.4586669033725117,0.029051811360734703,0.0,-0.46±0.03,<1e-05
DNA binding,0.0,<1e-05,-0.18024045545654485,0.016362227099552193,0.0,-0.18±0.02,<1e-05,-0.18024045545654485,0.021423846691330573,0.0,-0.18±0.02,<1e-05,0.0,<1e-05,-0.25809857835098127,0.017671222718361877,0.0,-0.26±0.02,<1e-05,-0.25809857835098127,0.02166379744955871,0.0,-0.26±0.02,<1e-05
nucleic acid binding,0.0,<1e-05,-0.17390285055988616,0.014464788358782728,0.0,-0.17±0.01,<1e-05,-0.17390285055988616,0.016883206492324915,0.0,-0.17±0.02,<1e-05,0.0,<1e-05,-0.19023477895913654,0.015372902100220255,0.0,-0.19±0.02,<1e-05,-0.19023477895913654,0.017763557478487006,0.0,-0.19±0.02,<1e-05
sequence-specific double-stranded DNA binding,0.0,<1e-05,-0.2170679336028944,0.018624631991343503,0.0,-0.22±0.02,<1e-05,-0.2170679336028944,0.027710137392082813,0.0,-0.22±0.03,<1e-05,0.0,<1e-05,-0.4184608308074702,0.020940186353950525,0.0,-0.42±0.02,<1e-05,-0.4184608308074702,0.027271480809961845,0.0,-0.42±0.03,<1e-05
"DNA-binding transcription repressor activity, RNA polymerase II-specific",0.0,<1e-05,-0.28687597720165153,0.0357827662476218,0.0,-0.29±0.04,<1e-05,-0.28687597720165153,0.06375608092223761,0.0,-0.29±0.06,<1e-05,0.0,<1e-05,-0.4887436230666952,0.041869787871734336,0.0,-0.49±0.04,<1e-05,-0.4887436230666952,0.05961637127912736,0.0,-0.49±0.06,<1e-05
"DNA-binding transcription factor activity, RNA polymerase II-specific",0.0,<1e-05,-0.22041416269659211,0.0194194595295116,0.0,-0.22±0.02,<1e-05,-0.22041416269659211,0.03052289878569565,0.0,-0.22±0.03,<1e-05,0.0,<1e-05,-0.45984577492934514,0.022238565545052005,0.0,-0.46±0.02,<1e-05,-0.45984577492934514,0.029532524524151973,0.0,-0.46±0.03,<1e-05
RNA polymerase II cis-regulatory region sequence-specific DNA binding,0.0,<1e-05,-0.20774059975631468,0.020571204975731026,0.0,-0.21±0.02,<1e-05,-0.20774059975631468,0.032239535298390194,0.0,-0.21±0.03,<1e-05,0.0,<1e-05,-0.46334622337941306,0.023177587857400168,0.0,-0.46±0.02,<1e-05,-0.46334622337941306,0.031334434931391104,0.0,-0.46±0.03,<1e-05
RNA polymerase II transcription regulatory region sequence-specific DNA binding,0.0,<1e-05,-0.22541611382015694,0.019296281494845437,0.0,-0.23±0.02,<1e-05,-0.22541611382015694,0.030015132900633512,0.0,-0.23±0.03,<1e-05,0.0,<1e-05,-0.46068087390393125,0.021633695496095815,0.0,-0.46±0.02,<1e-05,-0.46068087390393125,0.02896233513994451,0.0,-0.46±0.03,<1e-05
