,nu_p,nu_p_excel,nu_cd,nu_cd_se,nu_p_b,nu_cd_excel,nu_p_b_excel,nu_cd_sub,nu_cd_se_sub,nu_p_b_sub,nu_cd_excel_sub,nu_p_b_excel_sub,SPR_p,SPR_p_excel,SPR_cd,SPR_cd_se,SPR_p_b,SPR_cd_excel,SPR_p_b_excel,SPR_cd_sub,SPR_cd_se_sub,SPR_p_b_sub,SPR_cd_excel_sub,SPR_p_b_excel_sub
nucleus,0.0,<1e-05,-0.10937328437687281,0.012413650709326624,0.0,-0.11±0.01,<1e-05,-0.10937328437687281,0.012739083387533979,0.0,-0.11±0.01,<1e-05,0.0,<1e-05,-0.10808156287248902,0.01268400661256368,0.0,-0.11±0.01,<1e-05,-0.10808156287248902,0.01310287530489518,0.0,-0.11±0.01,<1e-05
cytoplasm,1.1559341008287203e-43,<1e-05,0.1605958896659907,0.01315692532932708,0.0,0.16±0.01,<1e-05,0.1605958896659907,0.01101950033336443,0.0,0.16±0.01,<1e-05,1.8616435799189046e-27,<1e-05,0.14289411210304995,0.013302625239826843,0.0,0.14±0.01,<1e-05,0.14289411210304995,0.01089891166401744,0.0,0.14±0.01,<1e-05
mitochondrial matrix,7.13828826280008e-30,<1e-05,0.48193682459978987,0.04265338042045649,0.0,0.48±0.04,<1e-05,0.48193682459978987,0.06286988936354351,0.0,0.48±0.06,<1e-05,5.857596336105505e-07,<1e-05,0.16308732708404408,0.039974574226186305,0.0,0.16±0.04,<1e-05,0.16308732708404408,0.06619947796837108,0.00231,0.16±0.07,0.002
mitochondrion,9.998104258013784e-28,<1e-05,0.2278619523403469,0.027098041403725272,0.0,0.23±0.03,<1e-05,0.2278619523403469,0.03507113682268778,0.0,0.23±0.04,<1e-05,9.702393973638231e-06,<1e-05,0.08672268578484979,0.023862174007532367,0.0,0.09±0.02,<1e-05,0.08672268578484979,0.034416847429963884,0.00179,0.09±0.03,0.002
membrane,1.8168375967986375e-21,<1e-05,0.11125533684868257,0.012462067881390678,0.0,0.11±0.01,<1e-05,0.11125533684868257,0.01268108270131303,0.0,0.11±0.01,<1e-05,2.162143449894212e-35,<1e-05,0.13018411374336797,0.01264981303011994,0.0,0.13±0.01,<1e-05,0.13018411374336797,0.012894176766770437,0.0,0.13±0.01,<1e-05
cytoplasmic vesicle,4.689257155528125e-19,<1e-05,0.1540649019471925,0.01840278713002053,0.0,0.15±0.02,<1e-05,0.1540649019471925,0.02392507818386888,0.0,0.15±0.02,<1e-05,1.6487662229903469e-24,<1e-05,0.17581552874610168,0.017714520924687182,0.0,0.18±0.02,<1e-05,0.17581552874610168,0.024064609156176604,0.0,0.18±0.02,<1e-05
endosome,3.221524208577299e-16,<1e-05,0.21124226234966975,0.02463280438293217,0.0,0.21±0.02,<1e-05,0.21124226234966975,0.03518346513212591,0.0,0.21±0.04,<1e-05,2.2781757256179925e-18,<1e-05,0.2104156870983,0.025414279829505795,0.0,0.21±0.03,<1e-05,0.2104156870983,0.03680625833232198,0.0,0.21±0.04,<1e-05
mitochondrial inner membrane,1.5706411096075022e-14,<1e-05,0.3759313589750941,0.04721943046455646,0.0,0.38±0.05,<1e-05,0.3759313589750941,0.0708713210768452,0.0,0.38±0.07,<1e-05,0.04911959818356939,0.05,0.051524112121124475,0.048185669178646105,0.04979,0.05±0.05,0.05,0.051524112121124475,0.07569111774146946,0.15075,0.05±0.08,0.2
cytoplasmic vesicle membrane,8.227656101459766e-14,<1e-05,0.17429424498295795,0.024588301596197664,0.0,0.17±0.02,<1e-05,0.17429424498295795,0.03340624723774088,0.0,0.17±0.03,<1e-05,1.3322023306570887e-17,<1e-05,0.20059330578196005,0.024065479230802083,0.0,0.20±0.02,<1e-05,0.20059330578196005,0.033895898797712744,0.0,0.20±0.03,<1e-05
cytosol,4.955915108640603e-13,<1e-05,0.08581695880847429,0.013888822486256159,0.0,0.09±0.01,<1e-05,0.08581695880847429,0.015968028872349545,0.0,0.09±0.02,<1e-05,6.870906937587323e-09,<1e-05,0.08241176984583205,0.013684606949609558,0.0,0.08±0.01,<1e-05,0.08241176984583205,0.016013039883970053,0.0,0.08±0.02,<1e-05
