,OR,p_value,OR_errlow,OR_errhigh,asymmetric_err,BenjaminiHochberg,correctedP
microtubule binding,0.6214855175056326,0.06272532174054987,0.3515384203057028,1.022723894119651,"[0.2699470971999298, 0.4012383766140184]",False,0.1851890451387663
G protein-coupled receptor activity,0.624276839333898,0.0559641009646806,0.3598764930465481,1.0127941690757276,"[0.2644003462873499, 0.3885173297418296]",False,0.17348871299050986
ubiquitin protein ligase binding,0.6507363155467882,0.2315404037038024,0.30858826200831024,1.2149069502881908,"[0.342148053538478, 0.5641706347414026]",False,0.49259528210896597
"DNA-binding transcription activator activity, RNA polymerase II-specific",0.6648282191793627,0.07499020962380207,0.4071089171418395,1.0298861363651497,"[0.25771930203752325, 0.36505791718578695]",False,0.20214752159459687
cadherin binding,0.690221782982033,0.1797500760419193,0.38205455508760827,1.154655131083667,"[0.3081672278944247, 0.46443334810163406]",False,0.4127594338740369
protein homodimerization activity,0.7161381650182262,0.10932522957937503,0.4582483094353017,1.07168141147325,"[0.25788985558292454, 0.3555432464550238]",False,0.2711265693568501
actin filament binding,0.7177662979821562,0.2880851214326968,0.38796565473026445,1.2221028974063102,"[0.32980064325189173, 0.504336599424154]",False,0.5581649227758501
other,0.7313554219279527,9.622761889888141e-06,0.6356175988837117,0.8415734228396291,"[0.09573782304424094, 0.11021800091167644]",True,9.943520619551079e-05
calcium ion binding,0.732475766089441,0.0809899770637042,0.5069787018552936,1.0282203185138634,"[0.2254970642341474, 0.29574455242442244]",False,0.20922410741456918
signaling receptor binding,0.7770997029138202,0.06642478141660785,0.5864429491630111,1.0135696300215742,"[0.19065675375080915, 0.23646992710775394]",False,0.18719711126498575
actin binding,0.7787546844337664,0.24629764105448299,0.5072100899251781,1.14914151086588,"[0.27154459450858826, 0.3703868264321136]",False,0.49259528210896597
small GTPase binding,0.8021071188730101,0.44199509177176366,0.46975485773862163,1.286692716638222,"[0.3323522611343885, 0.48458559776521193]",False,0.7028447494620917
protein kinase binding,0.8173278981364708,0.24616667716320847,0.5712639953967715,1.1381866623990984,"[0.24606390273969925, 0.3208587642626276]",False,0.49259528210896597
protein kinase activity,0.8455411913530219,0.3463640105824662,0.5908946167249204,1.1776810101585637,"[0.2546465746281015, 0.3321398188055419]",False,0.6135591044603687
"DNA-binding transcription factor activity, RNA polymerase II-specific",0.8847050404696312,0.33433738533666657,0.6920241617583214,1.1182783401642002,"[0.1926808787113098, 0.23357329969456908]",False,0.6096740556139214
DNA-binding transcription factor activity,0.9105293085925114,0.4670936959419331,0.7170784541914821,1.144028174152115,"[0.19345085440102927, 0.23349886555960364]",False,0.7084954806925376
RNA polymerase II cis-regulatory region sequence-specific DNA binding,0.9112222094990756,0.5083152167943453,0.7037958808611845,1.1647707401380483,"[0.20742632863789112, 0.25354853063897265]",False,0.7503700819345098
enzyme binding,0.9242774394783813,0.4421120198229287,0.7556116182979372,1.1230962595830565,"[0.16866582118044404, 0.19881882010467522]",False,0.7028447494620917
identical protein binding,0.9535143248803566,0.7135798660717584,0.7661269037824285,1.1768346616514913,"[0.18738742109792805, 0.22332033677113472]",False,0.9028969733969188
