,OR,p_value,OR_errlow,OR_errhigh,asymmetric_err,BenjaminiHochberg,correctedP
metalloendopeptidase activity,0.45187178513857884,0.002339343528690793,0.24243288121224252,0.7769200433827042,"[0.20943890392633632, 0.3250482582441253]",True,0.015312066733248827
"DNA-binding transcription repressor activity, RNA polymerase II-specific",0.4614434690965368,1.8609186626663413e-07,0.32691212136036973,0.6354222061748473,"[0.13453134773616704, 0.17397873707831057]",True,2.23310239519961e-06
ATP-dependent chromatin remodeler activity,0.4851847803222554,0.018291485757372355,0.23686145618438237,0.8945060012450672,"[0.24832332413787306, 0.40932122092281176]",False,0.07091990909816168
beta-catenin binding,0.504389290744772,0.005343202569024941,0.2826896445009987,0.8399121836158506,"[0.2216996462437733, 0.3355228928710786]",True,0.02814955499778993
"DNA-binding transcription factor activity, RNA polymerase II-specific",0.5692585104255192,9.035046457906348e-16,0.48947653683791115,0.6593582291511837,"[0.07978197358760808, 0.09009971872566447]",True,1.2339495916243127e-13
metallopeptidase activity,0.5727220758238288,0.008207357627100918,0.35624203016715517,0.8795626452663124,"[0.21648004565667367, 0.3068405694424836]",True,0.04029066471485906
DNA-binding transcription factor activity,0.5761497507358534,1.14254591817066e-15,0.4970059009116171,0.66532665143235,"[0.07914384982423628, 0.08917690069649664]",True,1.2339495916243127e-13
transmembrane receptor protein tyrosine kinase activity,0.5791592258789864,0.034259794434354965,0.32374859601294814,0.9676666487540797,"[0.25541062986603824, 0.3885074228750933]",False,0.10882522937971577
RNA polymerase II transcription regulatory region sequence-specific DNA binding,0.602271031824974,1.2400526321288866e-13,0.5205548801519796,0.6942357640366669,"[0.0817161516729944, 0.09196473221169288]",True,8.928378951327985e-12
promoter-specific chromatin binding,0.6252925769437474,0.13049334793129141,0.3144554091439915,1.1323197674254795,"[0.3108371677997559, 0.5070271904817321]",False,0.26844345860151375
RNA polymerase II cis-regulatory region sequence-specific DNA binding,0.6256180056478184,1.3088763204051818e-10,0.5355661032891536,0.7276874460735239,"[0.09005190235866489, 0.10206944042570543]",True,3.533966065093991e-09
transmembrane signaling receptor activity,0.6334704125236684,1.1760321130237392e-07,0.5267915997795617,0.7569664145583728,"[0.10667881274410673, 0.12349600203470434]",True,1.587643352582048e-06
transcription cis-regulatory region binding,0.6351101269174005,2.8445666011603825e-12,0.5537442045415681,0.7261305929223346,"[0.0813659223758324, 0.09102046600493408]",True,1.2288527717012852e-10
sequence-specific double-stranded DNA binding,0.6473201663471184,7.922822189558246e-12,0.5663235079745935,0.737712894012961,"[0.0809966583725249, 0.09039272766584261]",True,2.8522159882409686e-10
cis-regulatory region sequence-specific DNA binding,0.6521543427580881,2.395479612360127e-09,0.5605473980384846,0.7557048417427863,"[0.09160694471960351, 0.10355049898469815]",True,4.703850875179886e-08
signaling receptor activity,0.6550893833759915,4.942354507455224e-08,0.5558649035833784,0.7683075449659752,"[0.09922447979261317, 0.11321816158998366]",True,7.116990490735522e-07
protein tyrosine kinase activity,0.6588788808739369,0.02280609306035676,0.4452058328009894,0.9458834345458608,"[0.21367304807294746, 0.2870045536719239]",False,0.08349349323791629
cytokine activity,0.6666979412290087,0.12584823878801,0.37892063030495016,1.1013827578684003,"[0.28777731092405856, 0.4346848166393916]",False,0.26650215272755057
serine-type endopeptidase activity,0.6669131834003166,0.16230150378384808,0.3636692722111794,1.1375515498137037,"[0.3032439111891372, 0.4706383664133871]",False,0.30751863874834373
double-stranded DNA binding,0.6936306175679323,2.3895185438884093e-09,0.6107581277509228,0.785717576738643,"[0.08287248981700956, 0.09208695917071064]",True,4.703850875179886e-08
sequence-specific DNA binding,0.6957032493259095,2.103905881536533e-09,0.613584995161378,0.7868465855041815,"[0.08211825416453156, 0.09114333617827197]",True,4.703850875179886e-08
voltage-gated calcium channel activity,0.7053322985752101,0.3049397995564542,0.3647396264384788,1.2534196707919736,"[0.3405926721367313, 0.5480873722167635]",False,0.4843161522367214
G protein-coupled receptor activity,0.7065934672361578,0.004272215540928516,0.5456232865757333,0.9034518133710667,"[0.16097018066042446, 0.19685834613490893]",True,0.024940501536231334
protein self-association,0.7212881551423257,0.24442178422485622,0.40121767899931265,1.2128225468452876,"[0.32007047614301304, 0.49153439170296187]",False,0.39996291964067376
structural constituent of cytoskeleton,0.72488070550473,0.20879020110017454,0.431940734953421,1.1546394713852046,"[0.29293997055130905, 0.42975876588047457]",False,0.34960219719098995
extracellular matrix structural constituent conferring tensile strength,0.7257676159415679,0.4592012795627175,0.33645520121285133,1.3979194955305967,"[0.3893124147287166, 0.6721518795890288]",False,0.6277688378832087
carbohydrate binding,0.7278813507623793,0.08992476914256536,0.494114729665724,1.0414491689247642,"[0.23376662109665525, 0.313567818162385]",False,0.20663563973185234
"DNA-binding transcription activator activity, RNA polymerase II-specific",0.7458705734190457,0.009102300888581303,0.5902225091340199,0.9329692297328339,"[0.15564806428502587, 0.1870986563137882]",True,0.043148742605779354
endopeptidase activity,0.7591587840584394,0.03365652040785182,0.578868384133734,0.9818693873834448,"[0.1802903999247054, 0.22271060332500536]",False,0.10850460310591034
single-stranded RNA binding,0.7789400655165637,0.4404288588812906,0.41286119341757976,1.3607937513920352,"[0.36607887209898393, 0.5818536858754715]",False,0.6156681521180545
peptidase activity,0.7918789730995874,0.03547769068082679,0.6294933327007299,0.9865505128527278,"[0.1623856403988575, 0.19467153975314033]",False,0.10947401695797981
guanyl-nucleotide exchange factor activity,0.8009232354089708,0.10055380224621187,0.6089959884733075,1.0386667642709828,"[0.19192724693566332, 0.237743528862012]",False,0.2262460550539767
protein kinase activity,0.8040299921298134,0.018083090617877457,0.6655968916706603,0.965114781662537,"[0.13843310045915314, 0.16108478953272354]",False,0.07091990909816168
calmodulin binding,0.8147944724282237,0.15477832758879168,0.6092647638838623,1.0725751960216219,"[0.20552970854436137, 0.2577807235933982]",False,0.29585945804583186
protein serine/threonine kinase activity,0.8176680137834603,0.06104464418149907,0.6580633478880227,1.0073367535017075,"[0.15960466589543765, 0.18966873971824716]",False,0.15512521344945646
DNA helicase activity,0.8209129864820089,0.41106991564725964,0.5069899030285049,1.2719050825188107,"[0.31392308345350406, 0.4509920960368018]",False,0.588020541588133
DNA binding,0.8218351651946121,6.896102352024167e-05,0.7439235913171224,0.9067958852177633,"[0.0779115738774897, 0.08496072002315125]",True,0.0006476339600161826
transcription coactivator activity,0.8320256991277756,0.17717131216837867,0.6336722480979363,1.077568892443314,"[0.19835345102983926, 0.24554319331553842]",False,0.3215882641039478
"phosphatidylinositol-3,4,5-trisphosphate binding",0.8351122699406132,0.7529962012364322,0.3853139823193974,1.6191640818697228,"[0.44979828762121576, 0.7840518119291097]",False,0.8605670871273511
calcium ion binding,0.8408554191403637,0.051560505396118075,0.7032528928957955,0.9998204368003671,"[0.13760252624456815, 0.15896501766000348]",False,0.14097555905774056
metal ion binding,0.8445949504571663,7.330775271337035e-05,0.7756058251349535,0.919151355536153,"[0.0689891253222128, 0.07455640507898675]",True,0.0006597697744203331
lysine-acetylated histone binding,0.8566072627571905,0.752036983918045,0.3948651041463409,1.66298668405339,"[0.46174215861084955, 0.8063794212961996]",False,0.8605670871273511
actin binding,0.8567359370867432,0.1440655713533097,0.6940341217679764,1.0492428277867356,"[0.16270181531876682, 0.19250689069999238]",False,0.29160207324220816
kinase activity,0.8587671050425986,0.07603440384874224,0.722768007007721,1.0151724712774364,"[0.13599909803487753, 0.1564053662348378]",False,0.18453293518346434
actin filament binding,0.867488890044677,0.33456351721733824,0.654460730922848,1.1331959883320208,"[0.21302815912182904, 0.26570709828734385]",False,0.5198972641650724
protein serine kinase activity,0.8691219458300993,0.22720021020480768,0.692722744589038,1.0804025921861697,"[0.17639920124106123, 0.21128064635607047]",False,0.3746201939254844
p53 binding,0.8691835867214965,0.64291085593174,0.5079054783310021,1.4092330515916915,"[0.36127810839049446, 0.540049464870195]",False,0.7758030440293623
signaling receptor binding,0.8858723487998325,0.08227069190238118,0.7701612736096121,1.0158043762797706,"[0.11571107519022039, 0.12993202747993815]",False,0.1974496605657148
"ATP-dependent activity, acting on DNA",0.8884326175278964,0.5218683198399248,0.6236873609167423,1.2365620141034288,"[0.2647452566111541, 0.34812939657553243]",False,0.6709735540799032
SH2 domain binding,0.89099917762676,0.8718727123224812,0.41011062458081615,1.7333288301583991,"[0.4808885530459438, 0.8423296525316392]",False,0.9322995339685937
G protein-coupled receptor binding,0.8913699096941582,0.5739019647663862,0.625710580739405,1.240740587162048,"[0.2656593289547532, 0.34937067746788986]",False,0.7216671602445726
extracellular matrix structural constituent,0.8933226796316784,0.507809085507461,0.647397396337753,1.2093640803013628,"[0.2459252832939255, 0.31604140066968434]",False,0.6688217223756803
SH3 domain binding,0.8965753346049059,0.6340474143210394,0.5853029960800006,1.3277839677947987,"[0.3112723385249053, 0.4312086331898928]",False,0.7737527767985566
single-stranded DNA binding,0.9005976121250335,0.7523838418909184,0.5611942014351575,1.3864707520811705,"[0.339403410689876, 0.485873139956137]",False,0.8605670871273511
GTPase activator activity,0.9048564269673679,0.4648554863544595,0.6965531961369663,1.1609993011687365,"[0.2083032308304016, 0.2561428742013686]",False,0.6315017927834167
gamma-tubulin binding,0.9154974732525749,1.0,0.4209433470890526,1.7836053368813618,"[0.4945541261635223, 0.8681078636287869]",False,1.0
enzyme activator activity,0.9240189904599554,0.44464922097415044,0.7559168113777059,1.1216206982297383,"[0.16810217908224945, 0.19760170776978292]",False,0.6156681521180545
PDZ domain binding,0.9268500287861646,0.8315318283458821,0.57713296061142,1.428171277115963,"[0.34971706817474457, 0.5013212483297983]",False,0.893586442401545
protein serine/threonine kinase activator activity,0.9282569843884785,1.0,0.4265764974583402,1.8098470035500096,"[0.5016804869301383, 0.8815900191615311]",False,1.0
mRNA 3'-UTR binding,0.9292397618929636,0.8207914905545972,0.5580147131200851,1.4750528587448264,"[0.37122504877287854, 0.5458130968518627]",False,0.886454809798965
helicase activity,0.9362440891484308,0.7179450323460796,0.6868646652039272,1.25414022831271,"[0.24937942394450363, 0.3178961391642793]",False,0.8426360297346523
nuclear receptor coactivator activity,0.9379416175078374,0.896478351164412,0.5178800738025319,1.5923469152630352,"[0.4200615437053056, 0.6544052977551977]",False,0.944582067568356
chloride channel activity,0.9547821780465365,1.0,0.5268775037469403,1.6221420172869259,"[0.4279046742995962, 0.6673598392403893]",False,1.0
histone acetyltransferase activity,0.9548550865136887,1.0,0.4571364233609686,1.8079515223343638,"[0.49771866315272006, 0.8530964358206752]",False,1.0
protein domain specific binding,0.9570058316214961,0.6399907647407361,0.8029919487285415,1.1346956667727286,"[0.1540138828929546, 0.1776898351512325]",False,0.7758030440293623
transcription coregulator activity,0.9672531898965702,0.7776465865769753,0.7964330570229254,1.1671689464876986,"[0.17082013287364473, 0.19991575659112848]",False,0.8663786807285562
chromatin binding,0.975568253621439,0.7994671731644675,0.8201299829085638,1.1546745556502995,"[0.1554382707128752, 0.17910630202886058]",False,0.8765731441803297
growth factor activity,0.976276576541703,1.0,0.6195764173141544,1.4815961796185995,"[0.3567001592275486, 0.5053196030768965]",False,1.0
protein kinase C binding,0.9851047566734898,1.0,0.5182285056340945,1.7381416117250899,"[0.46687625103939534, 0.7530368550516]",False,1.0
nuclear estrogen receptor binding,0.9937076097880274,1.0,0.4749838628603843,1.8856246755120774,"[0.5187237469276431, 0.8919170657240499]",False,1.0
protease binding,0.9977530551126672,1.0,0.654798694812206,1.4724279793672987,"[0.3429543603004612, 0.47467492425463154]",False,1.0
amyloid-beta binding,0.9977603220809333,1.0,0.5896157092998787,1.6060812819606227,"[0.4081446127810546, 0.6083209598796894]",False,1.0
