,OR,p_value,OR_errlow,OR_errhigh,asymmetric_err,BenjaminiHochberg,correctedP
"DNA-binding transcription repressor activity, RNA polymerase II-specific",0.3526978017094352,1.9434061984365446e-05,0.18619816141420012,0.6098774199367092,"[0.1664996402952351, 0.257179618227274]",True,0.00012437799669993884
"DNA-binding transcription factor activity, RNA polymerase II-specific",0.43836117796661705,2.2194223652888374e-13,0.3377026886458935,0.5609816828912536,"[0.10065848932072358, 0.12262050492463655]",True,7.10215156892428e-12
DNA-binding transcription factor activity,0.4612433502453395,1.3921784089887335e-12,0.3590951860616968,0.5848271882091574,"[0.1021481641836427, 0.12358383796381783]",True,3.3412281815729605e-11
RNA polymerase II transcription regulatory region sequence-specific DNA binding,0.48486163394214155,2.2120736864764997e-11,0.3792636014185971,0.6122379756606365,"[0.10559803252354444, 0.127376341718495]",True,4.2471814780348794e-10
RNA polymerase II cis-regulatory region sequence-specific DNA binding,0.5081635815019936,4.6083639820407236e-09,0.3913048426538221,0.6506281798050988,"[0.1168587388481715, 0.1424645983031052]",True,4.6546768368386373e-08
signaling receptor activity,0.5150277052768878,7.597236626850642e-08,0.3890431086459323,0.6706075036436071,"[0.12598459663095551, 0.1555797983667193]",True,6.077789301480513e-07
transcription cis-regulatory region binding,0.5318430728771062,5.019742535046551e-10,0.42447894647747564,0.6596544629456648,"[0.10736412639963056, 0.12781139006855857]",True,8.031588056074481e-09
sequence-specific double-stranded DNA binding,0.5634731960165565,4.8486217050402475e-09,0.4541226074235269,0.6928275751860267,"[0.10935058859302965, 0.12935437916947012]",True,4.6546768368386373e-08
"DNA-binding transcription activator activity, RNA polymerase II-specific",0.5681675371358351,0.0020442010844653664,0.37658036550871793,0.8261563572957673,"[0.1915871716271172, 0.2579888201599322]",True,0.008176804337861466
sequence-specific DNA binding,0.5867382700446557,1.2184773070644214e-08,0.4785563886980389,0.7137094192030846,"[0.10818188134661683, 0.1269711491584289]",True,1.0633983770744041e-07
protein kinase activity,0.5972452203745098,0.0005125430757318282,0.4294161586341287,0.811568250360976,"[0.1678290617403811, 0.21432302998646624]",True,0.0024602067635127755
protein serine/threonine kinase activity,0.620033775126499,0.004792694796966713,0.424788530956869,0.8774962780526202,"[0.19524524416963002, 0.25746250292612116]",True,0.01619761317425847
calmodulin binding,0.6445086320715688,0.05734783958242425,0.3890567620036715,1.0100646554229467,"[0.2554518700678973, 0.3655560233513778]",False,0.1146956791648485
G protein-coupled receptor activity,0.6671035733530443,0.03584536604365421,0.44170743184143424,0.9711901679730869,"[0.22539614151161003, 0.3040865946200426]",False,0.0860288785047701
double-stranded DNA binding,0.6715310096593127,1.469702270665505e-05,0.5522503865115934,0.810814261069562,"[0.11928062314771926, 0.13928325141024933]",True,0.00010077958427420605
protein serine kinase activity,0.6924319847640765,0.03775239797660175,0.47119383651676855,0.985704482232703,"[0.22123814824730798, 0.2932724974686265]",False,0.08839585867692118
calcium ion binding,0.7387054372290089,0.02472326658511423,0.5544143375284865,0.9676632138144516,"[0.1842910997005225, 0.2289577765854427]",False,0.06414685384245854
actin binding,0.7568439859910078,0.08649666523430868,0.5390398380825316,1.0371654509884174,"[0.21780414790847613, 0.2803214649974096]",False,0.15667320495271006
transcription coactivator activity,0.7580810529965468,0.20723007110935177,0.4890305044243674,1.1276920631769702,"[0.2690505485721794, 0.3696110101804234]",False,0.30606287425381185
extracellular matrix structural constituent,0.7643458201902705,0.33019722690774744,0.4468574034204532,1.2288399953116635,"[0.3174884167698173, 0.464494175121393]",False,0.45284191118776795
metal ion binding,0.8024651001972435,0.0005423527717072696,0.7060392383643209,0.9104642211493783,"[0.09642586183292257, 0.10799912095213482]",True,0.0024793269563760894
actin filament binding,0.8071215115216068,0.34554139657244076,0.5154908152952226,1.210620774351983,"[0.29163069622638427, 0.4034992628303762]",False,0.46124513240760334
DNA binding,0.8183604189557144,0.006418760481372398,0.7050096977521921,0.9468510041838133,"[0.1133507212035223, 0.12849058522809886]",True,0.02054003354039167
GTPase activator activity,0.8400209640804984,0.4211538343690742,0.5552205301187357,1.2255098669651467,"[0.2848004339617627, 0.3854889028846483]",False,0.49914528517816203
RNA polymerase II-specific DNA-binding transcription factor binding,0.8422689087731715,0.3690249412889631,0.5792032960022913,1.189148343466159,"[0.26306561277088025, 0.34687943469298743]",False,0.4661367679439534
signaling receptor binding,0.8738470681806743,0.20269943491002967,0.7073518987554785,1.0705191862518346,"[0.1664951694251957, 0.19667211807116036]",False,0.30606287425381185
transcription coregulator activity,0.8837238105251842,0.4475706981558133,0.651661468052358,1.175821907267719,"[0.2320623424728262, 0.29209809674253473]",False,0.5239852075970497
guanyl-nucleotide exchange factor activity,0.8977461164336838,0.6555767833576784,0.6017466123075148,1.2949821567388973,"[0.29599950412616904, 0.3972360403052134]",False,0.731806641887641
molecular adaptor activity,0.9280134623401549,0.7112709221114357,0.6729686871591082,1.2528182478544554,"[0.25504477518104673, 0.3248047855143005]",False,0.7586889835855314
DNA-binding transcription factor binding,0.9554260379575534,0.8288610755719099,0.701998940728378,1.2753851842514972,"[0.25342709722917545, 0.31995914629394373]",False,0.8648985136402538
ubiquitin protein ligase binding,0.9558619361489787,0.9157243406793976,0.596847285179645,1.4609697544853493,"[0.3590146509693337, 0.5051078183363705]",False,0.9253635442654965
ATP binding,1.0023824153467864,0.9661088380855025,0.84352561441161,1.1852866007846463,"[0.1588568009351764, 0.1829041854378599]",False,0.9661088380855025
transcription corepressor activity,1.0122028906388256,0.9114123666258155,0.6243091808081511,1.5627566164394884,"[0.3878937098306745, 0.5505537258006628]",False,0.9253635442654965
identical protein binding,1.0203248824818063,0.8009570714509744,0.8612523239189971,1.2031181176262584,"[0.15907255856280922, 0.18279323514445212]",False,0.8449657017504785
protein phosphatase binding,1.0223370658260416,0.8957713873490265,0.5741260119425786,1.6979252696040925,"[0.44821105388346294, 0.675588203778051]",False,0.9246672385538338
transmembrane transporter activity,1.0419187048739007,0.6694224847138406,0.8394455506523275,1.2820514467121844,"[0.2024731542215732, 0.2401327418382837]",False,0.7352489794184462
protein domain specific binding,1.062426994462098,0.6177502689584669,0.8255514972633757,1.350468835630174,"[0.23687549719872236, 0.28804184116807585]",False,0.6976944214119155
mRNA binding,1.063595528791836,0.7089810742502995,0.7212227176752851,1.5203880021829344,"[0.3423728111165508, 0.4567924733910984]",False,0.7586889835855314
phosphatidylinositol binding,1.0894649156811378,0.5833201621708207,0.7474958104909764,1.5422591150168836,"[0.34196910519016144, 0.45279419933574583]",False,0.6666516139095094
zinc ion binding,1.1029354570025582,0.3756486517226427,0.8721480898991822,1.3802776540902641,"[0.230787367103376, 0.2773421970877059]",False,0.4683411761736844
