,OR,p_value,OR_errlow,OR_errhigh,asymmetric_err,BenjaminiHochberg,correctedP
adherens junction,0.6126232381214841,0.0868706981165567,0.3223075070387415,1.0641164166653732,"[0.2903157310827426, 0.45149317854388904]",False,0.22094769068808356
actin cytoskeleton,0.6378132716813496,0.008583877069942748,0.4371805249142024,0.9021474424977036,"[0.2006327467671472, 0.264334170816354]",True,0.041545965018522896
cell surface,0.6635147784416192,0.003123521674301487,0.4918868713405822,0.8782133387309359,"[0.17162790710103704, 0.21469856028931666]",True,0.019891901188972626
extracellular matrix,0.6880725398885932,0.014406028974165734,0.4966128288356852,0.9319634898099243,"[0.191459711052908, 0.2438909499213311]",False,0.05607540493066541
cell-cell junction,0.7157621848764957,0.0353135866711146,0.5081128297592205,0.9832817132581209,"[0.20764935511727522, 0.2675195283816252]",False,0.10682359968012167
PML body,0.7695468616323778,0.5619321480031254,0.363294089844445,1.4455666627384203,"[0.40625277178793284, 0.6760198011060424]",False,0.7390629337867193
extracellular region,0.7766829619032928,0.000401093980150551,0.6710356605847898,0.8960361848133505,"[0.10564730131850297, 0.11935322291005768]",True,0.0037332593537089745
postsynaptic membrane,0.7798662267777497,0.37108580556218274,0.4482630109982089,1.2698998064999434,"[0.3316032157795408, 0.49003357972219364]",False,0.5595442794162788
anchoring junction,0.7856518760774797,0.01484624070843203,0.6391720582380964,0.957848934541919,"[0.14647981783938324, 0.17219705846443933]",False,0.05607540493066541
plasma membrane,0.7866400105246343,6.444678049903002e-05,0.6968555795018915,0.8866300544368932,"[0.0897844310227428, 0.09999004391225896]",True,0.0007798060440382631
collagen-containing extracellular matrix,0.7929373621318156,0.18950530377347888,0.5518745825991126,1.1078558371119758,"[0.24106277953270305, 0.3149184749801601]",False,0.39247565996934297
glutamatergic synapse,0.815573716355439,0.325871910484963,0.5353214187780642,1.1962145281899477,"[0.2802522975773748, 0.3806408118345087]",False,0.5257400155824069
external side of plasma membrane,0.8293637118837368,0.4283078830335214,0.518975470446124,1.2642997479504423,"[0.3103882414376128, 0.4349360360667055]",False,0.606928768613347
extracellular space,0.8358340925596393,0.024272753551686753,0.7113888191564793,0.977803645081867,"[0.12444527340315992, 0.14196955252222776]",False,0.08158342165983602
endoplasmic reticulum lumen,0.8430280267757828,0.4927802633741119,0.5331761221622721,1.2743143429267214,"[0.30985190461351075, 0.4312863161509386]",False,0.6775728621394038
cell junction,0.8466804405564456,0.04113450508706255,0.7177842043599577,0.9941132804884921,"[0.12889623619648793, 0.14743283993204648]",False,0.12139695403742852
neuron projection,0.8497256985233153,0.0894746846588107,0.6999974429870521,1.0243060608037622,"[0.14972825553626312, 0.17458036228044693]",False,0.22094769068808356
axon,0.8511124360709796,0.2436954212212732,0.6478474089698905,1.1012338797989438,"[0.20326502710108918, 0.2501214437279642]",False,0.44010665623543366
membrane,0.8748714861472536,0.014208017683079954,0.7855268028537026,0.9740909014524002,"[0.08934468329355105, 0.09921941530514655]",False,0.05607540493066541
Golgi apparatus,0.8964109538885773,0.24843443630577491,0.7423712125344173,1.0754107147624608,"[0.15403974135416, 0.17899976087388347]",False,0.44206715872057006
Z disc,0.8990861844852969,0.8107900069191251,0.5159902961538814,1.4669085951598613,"[0.3830958883314155, 0.5678224106745644]",False,0.9083851003445753
postsynaptic density,0.9141921829028806,0.7197643113421959,0.6131198469934718,1.3178179712917366,"[0.30107233590940885, 0.403625788388856]",False,0.879711936084906
cell projection,0.925019429946758,0.2987858540085666,0.7976321609254978,1.0691608767967768,"[0.12738726902126019, 0.14414144685001884]",False,0.5081540541019662
synapse,0.9365205348435546,0.5393207350427417,0.7683558326005776,1.1332122992404923,"[0.16816470224297697, 0.1966917643969377]",False,0.7276182728186508
secretory granule membrane,0.9381256786117497,0.8405000348869115,0.5987392843767307,1.4083268876394213,"[0.33938639423501893, 0.4702012090276716]",False,0.9330321488194155
centriole,0.9448757842139088,0.9142089179613473,0.5836774643136986,1.4560667774146139,"[0.36119831990021023, 0.511190993200705]",False,0.9624168539960813
dendrite,0.9514465167577181,0.7479747387670537,0.7237567151065465,1.231938215507826,"[0.22768980165117159, 0.28049169875010793]",False,0.8815202127901494
Golgi membrane,0.9747864003488353,0.9399222493007874,0.7071800590399792,1.3153404039439238,"[0.2676063413088562, 0.3405540035950885]",False,0.9720563432939767
other,0.9754568178861757,0.9051399345365114,0.7602669830284207,1.2362107310045882,"[0.215189834857755, 0.26075391311841256]",False,0.9624168539960813
apical plasma membrane,0.9777112400405907,1.0,0.6757750282423199,1.3747217060483472,"[0.3019362117982708, 0.39701046600775647]",False,1.0
cell cortex,0.9860979234642886,1.0,0.6737817584558558,1.3999639692578598,"[0.31231616500843284, 0.4138660457935712]",False,1.0
extracellular exosome,0.996317313099416,1.0,0.8263725440663334,1.1936706666385004,"[0.16994476903308253, 0.19735335353908445]",False,1.0
mitochondrial outer membrane,1.0024762964357126,1.0,0.5243557672151783,1.7546158854474903,"[0.4781205292205343, 0.7521395890117777]",False,1.0
nuclear membrane,1.0028050759445166,0.9245373749388758,0.667217181418543,1.4555376615648628,"[0.3355878945259736, 0.45273258562034613]",False,0.9643881238586549
endoplasmic reticulum membrane,1.0153741823957507,0.9029099512757774,0.7898987211137141,1.2890089471815118,"[0.22547546128203666, 0.2736347647857611]",False,0.9624168539960813
basolateral plasma membrane,1.0220472325541983,0.9146937042111517,0.6451445953907814,1.5485794674079427,"[0.3769026371634169, 0.5265322348537445]",False,0.9624168539960813
extracellular vesicle,1.02781966340238,0.7503849745238462,0.8555274071371133,1.2274420296047845,"[0.17229225626526667, 0.1996223662024046]",False,0.8815202127901494
focal adhesion,1.0316159363154553,0.8601133121693976,0.7126974602883038,1.4513169295346686,"[0.3189184760271515, 0.4197009932192133]",False,0.9461246433863374
postsynapse,1.0347393013495654,0.7879876926801153,0.784962549187222,1.3431947056348068,"[0.2497767521623434, 0.30845540428524143]",False,0.899682411573652
vesicle,1.0369797494050912,0.572352255717333,0.9084640052637847,1.1810210899626854,"[0.1285157441413065, 0.1440413405575942]",False,0.7446733649655622
endoplasmic reticulum,1.044027598743209,0.620340921151203,0.8714662487454262,1.243592533810916,"[0.17256134999778283, 0.1995649350677069]",False,0.7818880360343288
nuclear body,1.0521186025980498,0.652491852079496,0.8382207036051642,1.307528722086254,"[0.21389789899288558, 0.25541011948820413]",False,0.8112730758697977
midbody,1.0539061567729056,0.7406131358980305,0.6578447906734773,1.6115024646906364,"[0.3960613660994282, 0.5575963079177308]",False,0.8815202127901494
centriolar satellite,1.0554580573693062,0.7843353148941198,0.580380885676673,1.7807417956887817,"[0.4750771716926332, 0.7252837383194755]",False,0.899682411573652
ruffle membrane,1.0572409481238705,0.8723806929831914,0.5174207367544383,1.94249815356711,"[0.5398202113694321, 0.8852572054432395]",False,0.9509735482069023
cytoskeleton,1.0593390274779804,0.3976695607451173,0.9211842454284612,1.2148859575562827,"[0.13815478204951914, 0.15554693007830234]",False,0.5797351427730023
lamellipodium,1.0595075715421303,0.7394326288481039,0.6613002672227176,1.6201903984095785,"[0.39820730431941265, 0.5606828268674482]",False,0.8815202127901494
perikaryon,1.0643972241506883,0.7955869259370312,0.6095580650572101,1.7413430117202127,"[0.45483915909347816, 0.6769457875695244]",False,0.899682411573652
recycling endosome,1.0643972241506883,0.7955869259370312,0.6095580650572101,1.7413430117202127,"[0.45483915909347816, 0.6769457875695244]",False,0.899682411573652
cytoplasmic vesicle,1.0832695779364456,0.3065722805739135,0.9276842301932138,1.2601712963861236,"[0.15558534774323185, 0.17690171844967795]",False,0.5081540541019662
trans-Golgi network,1.1032999475372107,0.6011402555145711,0.7160359388554275,1.6350680008498963,"[0.38726400868178323, 0.5317680533126856]",False,0.7656628517606642
RNA polymerase II transcription regulator complex,1.1034089882358278,0.6570641440928939,0.6958906796180864,1.6736517523856749,"[0.4075183086177414, 0.5702427641498471]",False,0.8112730758697977
chromatin,1.1094989229382195,0.23632489713013322,0.9279234817360706,1.3192594991986821,"[0.18157544120214886, 0.20976057626046263]",False,0.43326231140524424
nuclear speck,1.1263735647755233,0.42604528992555324,0.8190939673848829,1.5172776478913017,"[0.30727959739064037, 0.3909040831157784]",False,0.606928768613347
centrosome,1.126410518591095,0.31137029694020635,0.8771636997013985,1.4288838800101433,"[0.24924681888969658, 0.30247336141904824]",False,0.5091325125643915
neuronal cell body,1.1288697939854788,0.37542116494280964,0.841221530231056,1.4887210183057502,"[0.2876482637544229, 0.3598512243202714]",False,0.5595442794162788
presynapse,1.138850124165209,0.379195296794503,0.8280899522538668,1.5342477824814982,"[0.3107601719113421, 0.39539765831628926]",False,0.5595442794162788
ciliary basal body,1.141572610632036,0.5472170481528696,0.6948304026310151,1.7817128471411712,"[0.44674220800102094, 0.6401402365091351]",False,0.7276182728186508
nuclear envelope,1.1420857797337474,0.3472560473366113,0.836004018104962,1.529763870807676,"[0.3060817616287853, 0.3876780910739286]",False,0.5456880743861034
sarcolemma,1.1451519235860619,0.5464461140402601,0.6969801748884287,1.7873908932473415,"[0.4481717486976332, 0.6422389696612796]",False,0.7276182728186508
transcription regulator complex,1.1504457557642294,0.3051029579726325,0.8616997756383306,1.5104558767460212,"[0.2887459801258988, 0.36001012098179186]",False,0.5081540541019662
endosome,1.1602767642337257,0.1839255989424038,0.927153914475945,1.4382227602836373,"[0.23312284975778075, 0.27794599604991155]",False,0.3904385521408923
transcription repressor complex,1.1732799377358551,0.5961522648071834,0.5501145660109821,2.224669693804851,"[0.6231653717248731, 1.0513897560689958]",False,0.7656628517606642
spindle pole,1.184707853363065,0.431370860336759,0.7541467510458525,1.7841466712962584,"[0.43056110231721256, 0.5994388179331933]",False,0.606928768613347
early endosome,1.1886544460656505,0.26436020370021024,0.8478077905309633,1.6282735252172202,"[0.3408466555346872, 0.4396190791515697]",False,0.4635881833003687
lysosomal membrane,1.1899457007318026,0.3022988395461923,0.8209480598645912,1.6767757112275654,"[0.36899764086721143, 0.4868300104957628]",False,0.5081540541019662
cytoplasmic vesicle membrane,1.1987626091548669,0.07716279167136662,0.9768429082373076,1.4598358855686981,"[0.2219197009175593, 0.26107327641383127]",False,0.20297169113555133
cilium,1.2012284661061932,0.10305168911841553,0.952732154852262,1.4991066588868114,"[0.24849631125393112, 0.2978781927806182]",False,0.244495183986829
microtubule cytoskeleton,1.218486781086744,0.017793052427697915,1.031733504825029,1.4325110570201092,"[0.186753276261715, 0.21402427593336526]",False,0.06332233363974846
growth cone,1.2196124966069657,0.3525658372454449,0.768215063202967,1.8527414837424971,"[0.45139743340399874, 0.6331289871355315]",False,0.5469290552140876
lysosome,1.2269653156984508,0.12829803750479596,0.9296432540126702,1.5949300807845843,"[0.29732206168578057, 0.3679647650861335]",False,0.29853966419385214
ruffle,1.2403961582437149,0.338267408804215,0.7726622376697211,1.9014496162703076,"[0.46773392057399377, 0.6610534580265928]",False,0.5385573219119739
endocytic vesicle,1.247970131358702,0.22889474408853583,0.8454869003619727,1.7858607906493609,"[0.4024832309967292, 0.5378906592906589]",False,0.43326231140524424
chromosome,1.2585957038943545,0.0023188933380350477,1.084887558398502,1.4553508019661843,"[0.17370814549585245, 0.19675509807182978]",True,0.015714249249914474
perinuclear region of cytoplasm,1.2621255322833356,0.05408088232248878,0.9912188693248375,1.5892088780073044,"[0.2709066629584981, 0.3270833457239688]",False,0.152181087465608
intercellular bridge,1.2666709449332825,0.4631130856572856,0.5929703873419865,2.4069292726857046,"[0.673700557591296, 1.140258327752422]",False,0.644099808787719
cytoplasmic ribonucleoprotein granule,1.2829073424724458,0.20127659244601237,0.8512949043284586,1.8680812906577464,"[0.4316124381439872, 0.5851739481853007]",False,0.40590779476612493
