,nu_svr_p,nu_svr_p_excel,nu_svr_cd,nu_svr_cd_se,nu_svr_p_b,nu_svr_cd_excel,nu_svr_p_b_excel,nu_svr_cd_sub,nu_svr_cd_se_sub,nu_svr_p_b_sub,nu_svr_cd_excel_sub,nu_svr_p_b_excel_sub,SPR_svr_p,SPR_svr_p_excel,SPR_svr_cd,SPR_svr_cd_se,SPR_svr_p_b,SPR_svr_cd_excel,SPR_svr_p_b_excel,SPR_svr_cd_sub,SPR_svr_cd_se_sub,SPR_svr_p_b_sub,SPR_svr_cd_excel_sub,SPR_svr_p_b_excel_sub
chromatin,0.0,<1e-05,-0.18129701682201066,0.02192792402723093,0.0,-0.18±0.02,<1e-05,-0.18129701682201066,0.028837184015721388,0.0,-0.18±0.03,<1e-05,0.0,<1e-05,-0.18269662008128648,0.02394647776502709,0.0,-0.18±0.02,<1e-05,-0.18269662008128648,0.030064293092863625,0.0,-0.18±0.03,<1e-05
nucleus,0.0,<1e-05,-0.1705575226772824,0.01402622461809014,0.0,-0.17±0.01,<1e-05,-0.1705575226772824,0.013739359431173487,0.0,-0.17±0.01,<1e-05,0.0,<1e-05,-0.10736658361629145,0.014455230030081026,0.0,-0.11±0.01,<1e-05,-0.10736658361629145,0.014187180838756391,0.0,-0.11±0.01,<1e-05
chromosome,0.0,<1e-05,-0.19090071697723093,0.0194192685025301,0.0,-0.19±0.02,<1e-05,-0.19090071697723093,0.024970655977518266,0.0,-0.19±0.02,<1e-05,0.0,<1e-05,-0.13871034049755854,0.020865579219111453,0.0,-0.14±0.02,<1e-05,-0.13871034049755854,0.025994132261753275,0.0,-0.14±0.03,<1e-05
membrane,1.071919914505186e-37,<1e-05,0.17202484746318014,0.014384754985917398,0.0,0.17±0.01,<1e-05,0.17202484746318014,0.015110932264990329,0.0,0.17±0.02,<1e-05,1.0800121640121581e-36,<1e-05,0.16150978947385022,0.014552251994059542,0.0,0.16±0.01,<1e-05,0.16150978947385022,0.015425731001064655,0.0,0.16±0.02,<1e-05
mitochondrion,1.6638339856699649e-25,<1e-05,0.26509052381409914,0.030933653904602565,0.0,0.27±0.03,<1e-05,0.26509052381409914,0.04135023189706188,0.0,0.27±0.04,<1e-05,6.971162380605694e-13,<1e-05,0.19895816235665223,0.027819128803327462,0.0,0.20±0.03,<1e-05,0.19895816235665223,0.04085869361428903,0.0,0.20±0.04,<1e-05
extracellular region,2.114945181850145e-23,<1e-05,0.17267429797975845,0.019672716629242182,0.0,0.17±0.02,<1e-05,0.17267429797975845,0.02505376431471417,0.0,0.17±0.03,<1e-05,1.8497147932791944e-14,<1e-05,0.12199629477875407,0.01935561499128174,0.0,0.12±0.02,<1e-05,0.12199629477875407,0.02530348833526571,0.0,0.12±0.03,<1e-05
mitochondrial inner membrane,1.621533940747875e-22,<1e-05,0.5183897648821755,0.057599525779299734,0.0,0.52±0.06,<1e-05,0.5183897648821755,0.08826733534989895,0.0,0.52±0.09,<1e-05,1.9555063885344855e-08,<1e-05,0.2742419556025643,0.049924443947695143,0.0,0.27±0.05,<1e-05,0.2742419556025643,0.09074882425001214,0.00111,0.27±0.09,0.001
mitochondrial matrix,1.0593026791225815e-20,<1e-05,0.5077868882646995,0.052770853286006225,0.0,0.51±0.05,<1e-05,0.5077868882646995,0.08281108932080106,0.0,0.51±0.08,<1e-05,1.0371569502067616e-08,<1e-05,0.2723253262463807,0.04691223552743318,0.0,0.27±0.05,<1e-05,0.2723253262463807,0.08364188688697952,0.00093,0.27±0.08,0.0009
cytoplasmic vesicle,8.219453096992997e-18,<1e-05,0.17759800358474687,0.02063262369267298,0.0,0.18±0.02,<1e-05,0.17759800358474687,0.027911473458004613,0.0,0.18±0.03,<1e-05,2.9974133715395466e-18,<1e-05,0.1792611151180914,0.020894364630146902,0.0,0.18±0.02,<1e-05,0.1792611151180914,0.028482645624093472,0.0,0.18±0.03,<1e-05
extracellular space,6.347753428889171e-17,<1e-05,0.15886994615727146,0.022164868197374496,0.0,0.16±0.02,<1e-05,0.15886994615727146,0.02844441374759483,0.0,0.16±0.03,<1e-05,6.064493124957114e-10,<1e-05,0.1072436608359142,0.021793069746395912,0.0,0.11±0.02,<1e-05,0.1072436608359142,0.028487967415538856,0.0,0.11±0.03,<1e-05
