,OR,p_value,OR_errlow,OR_errhigh,asymmetric_err,BenjaminiHochberg,correctedP
adherens junction,0.5310796844242006,0.000677129843004642,0.3473029188003139,0.7824489569077154,"[0.18377676562388673, 0.2513692724835148]",True,0.006527531686564748
receptor complex,0.558179407769564,1.1779998684272086e-06,0.4272505156361439,0.7188223275628796,"[0.13092889213342007, 0.16064291979331558]",True,2.838979682909573e-05
Golgi lumen,0.6043233757142858,0.015474716863124963,0.3838342148349887,0.9126421829479194,"[0.22048916087929715, 0.3083188072336336]",False,0.07036616535873805
intermediate filament,0.6171380269235326,0.013324253986233273,0.40268461845733894,0.9116897585786642,"[0.21445340846619365, 0.2945517316551316]",False,0.06374101472808814
bicellular tight junction,0.6231327151741108,0.028597000492223475,0.387226179430282,0.9581243884253985,"[0.23590653574382886, 0.33499167325128765]",False,0.11115304453330044
cornified envelope,0.6528734066501066,0.25947156268125976,0.3038131229684257,1.250941160728616,"[0.3490602836816809, 0.5980677540785094]",False,0.4597988721042912
P-body,0.6684833357855696,0.21133879372249909,0.34637348466958623,1.1848081093206275,"[0.3221098511159834, 0.5163247735350579]",False,0.410747171670341
actin filament,0.6741167778408739,0.1621525614912745,0.36770962292902615,1.1493929394855285,"[0.3064071549118477, 0.4752761616446546]",False,0.3520609668414158
intermediate filament cytoskeleton,0.6746380680587544,0.019671855360047202,0.471521805333386,0.9410590438895243,"[0.20311626272536837, 0.26642097583076996]",False,0.08619849348675229
endoplasmic reticulum-Golgi intermediate compartment membrane,0.6859915287224126,0.31438148963680296,0.31876961650010627,1.3169929843728512,"[0.3672219122223064, 0.6310014556504385]",False,0.5261523541838161
cell-cell junction,0.7013005560725328,0.0007548467561597239,0.561864298525013,0.8672094383959639,"[0.13943625754751987, 0.16590888232343104]",True,0.0069968487782497485
cell surface,0.7258320986621472,0.0002958245064617702,0.6029739564908029,0.8682237206238251,"[0.12285814217134428, 0.14239162196167798]",True,0.003394938383680315
GABA-ergic synapse,0.7339372326230742,0.29089015656993406,0.40831523039345236,1.2338641124661007,"[0.32562200222962184, 0.49992687984302653]",False,0.49719523215144756
ciliary membrane,0.7409505138527674,0.4142618309720426,0.37113853692827764,1.3489787592523104,"[0.3698119769244898, 0.6080282453995429]",False,0.6162784028658165
specific granule membrane,0.7690407105277873,0.48937686476105235,0.3847860706315147,1.4021936446381043,"[0.3842546398962726, 0.6331529341103169]",False,0.687533547564084
external side of plasma membrane,0.7703343065487276,0.08156350451144581,0.5654381764069898,1.030431324705825,"[0.2048961301417378, 0.2600970181570974]",False,0.2397171291129078
T-tubule,0.7761393069331999,0.4003639617981549,0.43117716918926413,1.30722776629828,"[0.34496213774393575, 0.5310884593650802]",False,0.6030482174584709
endoplasmic reticulum lumen,0.812423720760469,0.16504701883033196,0.6029753915708073,1.0763935337603512,"[0.20944832918966172, 0.2639698129998822]",False,0.3551458173045536
basement membrane,0.8201937912966716,0.35927007834969826,0.5367761206242601,1.211016173209711,"[0.2834176706724115, 0.39082238191303953]",False,0.562234343391411
actin cytoskeleton,0.830989555508834,0.08501170501730718,0.6697706280229134,1.0222954502305344,"[0.1612189274859206, 0.19130589472170034]",False,0.2426995692670797
extracellular matrix,0.8366271844205981,0.061327115499110234,0.6893029998859204,1.0086257489218933,"[0.14732418453467777, 0.17199856450129514]",False,0.20125464820249364
cell periphery,0.8428578066230462,1.015879868736228e-05,0.7803110961038788,0.9100446238631101,"[0.06254671051916738, 0.06718681724006392]",True,0.00018832849874263918
lamellipodium,0.848060489366007,0.33038576361674804,0.6064305140691298,1.1611302191414243,"[0.24162997529687713, 0.31306972977541736]",False,0.5385653110211912
blood microparticle,0.8494636834251136,0.678167506815065,0.4371671000287986,1.5192665669594392,"[0.412296583396315, 0.6698028835343256]",False,0.8832196480826234
anchoring junction,0.8502713801372637,0.013030149998362998,0.7455476354391403,0.9670191005800415,"[0.1047237446981234, 0.11674772044277781]",False,0.06374101472808814
plasma membrane,0.8544076353010368,7.95407600855372e-05,0.7891786969289855,0.9245567686713545,"[0.06522893837205135, 0.0701491333703177]",True,0.001198082698788404
extracellular region,0.8570016007752773,0.0009778372876700168,0.7800755288403548,0.940491517381171,"[0.07692607193492251, 0.08348991660589367]",True,0.00812616504580945
extracellular space,0.857159145626238,0.003292645694481346,0.7711898079433174,0.9512244656574588,"[0.08596933768292059, 0.09406532003122081]",True,0.022303212691944557
axon,0.8634078895996159,0.09772203537189762,0.7232455133356089,1.0250826804053845,"[0.14016237626400696, 0.16167479080576863]",False,0.2532366723078207
cytoplasmic stress granule,0.8685567679057075,0.712855857397751,0.4906555628554146,1.4461191334734522,"[0.37790120505029284, 0.5775623655677448]",False,0.8832196480826234
cell junction,0.8753892888963318,0.01348876245283193,0.7857689151296546,0.9736194280646395,"[0.0896203737666772, 0.0982301391683077]",False,0.06374101472808814
postsynaptic density,0.8954816456878913,0.4314591070460906,0.6898324284517653,1.1480515461915999,"[0.20564921723612606, 0.25256990050370853]",False,0.6379242012153854
cell leading edge,0.9002250557637757,0.3534527304020748,0.722609313410672,1.1118156201219078,"[0.17761574235310362, 0.21159056435813217]",False,0.5592710248688276
collagen-containing extracellular matrix,0.9014479035053463,0.37590108265117184,0.7219689223022543,1.1156195919890644,"[0.17947898120309203, 0.21417168848371804]",False,0.5829681211180364
glutamatergic synapse,0.9046644070100834,0.46885152172995914,0.6980868516045043,1.1580935178211074,"[0.2065775554055791, 0.2534291108110239]",False,0.6725786710530962
PML body,0.905935548779364,0.6971207942319397,0.5867860240980693,1.3503496237221633,"[0.31914952468129465, 0.4444140749427993]",False,0.8832196480826234
Golgi cisterna membrane,0.9103537929960412,0.8939365186606996,0.4924947665125933,1.5689882617598319,"[0.41785902648344797, 0.6586344687637906]",False,0.9698573394657434
